inc_response,stim,kross,presentation_order,zcue,correct_response,iSI,pros_stim,event_code,emoticon_H,cor_response,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
96,1_fea_sw_trimF,cross.bmp,1,0.972111570479,66,2.68802721088,1_fea_sw_trimF.wav,25,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,'1',0.751319468021,0.75131946802139282,0.0,0.0
80,2_ang_qw_trimF,cross.bmp,2,-1.4805664681,50,3.54047619048,2_ang_qw_trimF.wav,9,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,1.0
97,4_fea_sw_trimF,cross.bmp,3,0.989480113305,67,3.09891156463,4_fea_sw_trimF.wav,26,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,2.0
84,4_ang_qw_trimF,cross.bmp,4,-0.4123222868,54,3.11138321995,4_ang_qw_trimF.wav,13,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,3.0
73,4_hap_qs_trimF,cross.bmp,5,-0.537060731298,43,3.75081632653,4_hap_qs_trimF.wav,3,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,'3',0.717068314552,0.71706831455230713,0.0,4.0
71,4_hap_qw_trimF,cross.bmp,6,-1.14249072153,41,3.13696145125,4_hap_qw_trimF.wav,1,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,5.0
85,3_ang_qs_trimF,cross.bmp,7,0.156742370527,55,3.16766439909,3_ang_qs_trimF.wav,14,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,6.0
78,3_hap_qs_trimF,cross.bmp,8,1.42422309705,48,3.36818594104,3_hap_qs_trimF.wav,8,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,7.0
92,3_fea_sw_trimF,cross.bmp,9,-0.634123784623,62,3.31684807256,3_fea_sw_trimF.wav,21,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,8.0
72,1_hap_ss_trimF,cross.bmp,10,-1.12933930495,42,3.82702947846,1_hap_ss_trimF.wav,2,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,9.0
74,2_hap_qs_trimF_trimF,cross.bmp,11,-0.307202009129,44,3.28947845805,2_hap_qs_trimF.wav,4,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,10.0
83,2_ang_qs_trimF,cross.bmp,12,-0.621977686867,53,3.55623582766,2_ang_qs_trimF.wav,12,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,11.0
93,2_fea_ss_trimF,cross.bmp,13,0.166248411568,63,3.06099773243,2_fea_ss_trimF.wav,22,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,12.0
94,1_fea_ss_trimF,cross.bmp,14,0.46505470844,64,3.6325170068,1_fea_ss_trimF.wav,23,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,13.0
87,4_ang_qs_trimF,cross.bmp,15,0.805675751688,57,3.96158730159,4_ang_qs_trimF.wav,16,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,14.0
89,4_ang_ss_trimF,cross.bmp,16,1.40469118045,59,3.98519274376,4_ang_ss_trimF.wav,18,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,15.0
75,2_hap_sw_trimF,cross.bmp,17,0.063624465804,45,3.1866893424,2_hap_sw_trimF.wav,5,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,16.0
95,4_fea_qs_trimF,cross.bmp,18,0.781640746535,65,3.94272108844,4_fea_qs_trimF.wav,24,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,17.0
76,3_hap_ss_trimF,cross.bmp,19,0.231692495938,46,3.35551020408,3_hap_ss_trimF.wav,6,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,18.0
82,3_ang_qw_trimF,cross.bmp,20,-0.731797182141,52,2.88544217687,3_ang_qw_trimF.wav,11,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,19.0
88,1_ang_ss_trimF,cross.bmp,21,1.25493732326,58,3.54068027211,1_ang_ss_trimF.wav,17,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,20.0
91,3_fea_qs_trimF,cross.bmp,22,-1.19130614829,61,3.75097505669,3_fea_qs_trimF.wav,20,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,21.0
90,3_fea_ss_trimF,cross.bmp,23,-1.54910561741,60,3.30308390023,3_fea_ss_trimF.wav,19,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,22.0
77,3_hap_qw_trimF,cross.bmp,24,1.39655270811,47,3.07333333333,3_hap_qw_trimF.wav,7,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,23.0
81,2_ang_ss_trimF,cross.bmp,25,-1.03130489652,51,3.67217687075,2_ang_ss_trimF.wav,10,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,24.0
86,4_ang_sw_trimF,cross.bmp,26,0.655921894497,56,3.47814058957,4_ang_sw_trimF.wav,15,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,25.0
